Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
,Департамент машиностроения для топливно-энергетического комплекса,Директор департамента,Грибов Евгений Евгеньевич,ноябрь 2025 г.,
,Департамент международной кооперации и лицензирования в сфере внешней торговли,Директор департамента,Чекушов Роман Андреевич,2021 г.,2024 г.
,Департамент металлургии и материалов,Директор департамента,Марков Иван Александрович,?,
,Департамент оборонно-промышленного комплекса,Директор департамента,Перегудов Андрей Александрович,?,
,"Департамент промышленности обычных вооружений, боеприпасов и спецхимии",Директор департамента,Постников Павел Андреевич,?,
,Департамент радиоэлектронной промышленности,Директор департамента,Шпак Василий Викторович,май 2019 г.,апрель 2021 г.
,Департамент развития внутренней торговли,Директор департамента,Кузнецов Никита Вячеславович,декабрь 2019 г.,
,Департамент развития фармацевтической и медицинской промышленности,Директор департамента,Галкин Дмитрий Сергеевич,,
,Департамент региональной промышленной политики,Директор департамента,Овсянников Дмитрий Владимирович,2014 г.,2015 г.
,Департамент регулирования внешней торговли и развития системы торгпредств,Директор департамента,Бармичев Владислав Олегович,?,
,Департамент системы цифровой маркировки товаров и легализации оборота продукции,Директор департамента,Заславский Владислав Валерьевич,2019 г.,
,Департамент станкостроения и тяжелого машиностроения,Директор департамента,Пивень Валерий Вячеславович,?,
,Департамент международного сотрудничества,Директор департамента,?,31.05.2017,
,Департамент стратегического развития и корпоративной политики,Директор департамента,Матушанский Алексей Владимирович,?,
,Департамент судостроительной промышленности и морской техники,Директор департамента,Абдыкеров Сергей Евгеньевич,2019 г.,
,Департамент химической промышленности,Директор департамента,Смирнов Артур Владимирович,2023 г.,
,Департамент цифровых технологий,Директор департамента,Дождев Владимир Святославич,декабрь 2018 г.,
,Юридический департамент,Директор департамента,Карпова Надежда Ивановна,декабрь 2019 г.,
,Управление протокола и пресс-службы,Начальник управления,Борщук Наталья Евгеньевна,?,
,Управление беспилотных систем и робототехники,Начальник управления,Сердюк Алексей Игоревич,?,
,"Управление сельскохозяйственного, пищевого и строительно-дорожного машиностроения",Начальник управления,Елкина Мария Игоревна,декабрь 2019 г.,
,"Управление государственной политики в сфере технического регулирования, стандартизации и обеспечения единства измерений",Начальник управления,Веснина Елена Николаевна,?,
,Департамент стратегического развития и проектного управления,Директор департамента,Осьмаков Василий Сергеевич,2012 г.,2016 г.
,Департамента станкостроения и инвестиционного машиностроения,Директор департамента,Иванов Михаил Игоревич,2016 г.,2020 г.
,,,,,
Министерство обороны,,Министр обороны,Иванов Сергей Борисович,28 марта 2001,15 февраля 2007
,,Министр обороны,Сердюков Анатолий Эдуардович,15 февраля 2007,6 ноября 2012
,,Министр обороны,Шойгу Сергей Кужугетович,6 ноября 2012,12 мая 2024
,,Министр обороны,Белоусов Андрей Рэмович,14 мая 2024,
Министрество спорта,,"Министр спорта ( с 12 мая 2008 года, - являлся министром спорта, туризма и молодёжной политики",Мутко Виталий Леонтьевич,21 мая 2012,8 октября 2016
,,Министр спорта,Колобков Павел Анатольевич,19 октября 2016,15 января 2020
,,Министр спорта,Матыцин Олег Васильевич,21 января 2020,7 мая 2024
,,Министр спорта,Дегтярёв Михаил Владимирович,14 мая 2024,
Министрество природных ресурсов и экологии,,Министр природных ресурсов и экологии,Трутнев Юрий Петрович,12 мая 2008,21 мая 2012
,,Министр природных ресурсов и экологии,Донской Сергей Ефимович,21 мая 2012,18 мая 2018
,,Министр природных ресурсов и экологии,Кобылкин Дмитрий Николаевич,18 мая 2018,9 ноября 2020
,,Министр природных ресурсов и экологии,Козлов Александр Александрович,10 ноября 2020,
Министрество внутренних дел,,Министр внутренних дел,Грызлов Борис Вячеславович,28 марта 2001,24 декабря 2003
,,Министр внутренних дел,Нургалиев Рашид Гумарович,9 марта 2004,21 мая 2012
,,Министр внутренних дел,Колокольцев Владимир Александрович,21 мая 2012,
